Date	Time	Rooms reserved	Rooms available	Talks/session	Max talks
21-Jun-14	0830-0945	2	18	5	90
21-Jun-14	1015-1130	2	18	5	90
21-Jun-14	1300-1445	2	18	7	126
21-Jun-14	1515-1630	2	18	5	90
22-Jun-14	0830-0945	2	18	5	90
22-Jun-14	1015-1130	2	18	5	90
22-Jun-14	1300-1445	2	18	7	126
22-Jun-14	1515-1630	2	18	5	90
23-Jun-14	0830-0945	2	18	5	90
23-Jun-14	1015-1130	2	18	5	90
23-Jun-14	1300-1445	3	17	7	119
23-Jun-14	1515-1630	3	17	5	85
24-Jun-14	0830-0945	1	19	5	95
24-Jun-14	1015-1130	1	19	5	95
24-Jun-14	1300-1445	1	19	7	133
24-Jun-14	1515-1630	1	19	5	95
