Schedule #	#	What is your level of expertise in Evolutionary Biology?	Select a talk to attend from 8:30 - 8:45 am	Select a talk to attend from 8:45 - 9:00 am	Select a talk to attend from 9:00 - 9:15 am	Select a talk to attend from 9:15 - 9:30 am	Select a talk to attend from 9:30 - 9:45 am	Select a talk to attend from 10:00 -10:15 am	Select a talk to attend from 10:15 - 10:30 am	Select a talk to attend from 10:30 - 10:45 am	Select a talk to attend from 10:45 - 11:00 am	Select a talk to attend from 11:00 - 11:15 am	Choose one session to attend in its entirety from 8:30 - to 9:45 am. This means that you will be attending all talks in that session. How easy was it to find a session where all the talks interested you ?	Choose one session to attend in its entirety from 10:00 - to 11:15 am. This means that you will be attending all talks in that session. How easy was it to find a session where all the talks interested you ?	Start Date (UTC)	Submit Date (UTC)	Network ID	Max same session choices from 8:30 - 9:45 am	Max same session choices from 10:00 - 11:15 am	8:30-9:45	10:00 - 11:15
1	28c850541e753d2c507d6a1df863343b	Faculty	Cardiac myopathy and flight performance in starvation selected Drosophila  or the case of the All American flies	Identifying genes affecting both adaptive divergence and reproductive isolation in Howea palms from Lord Howe Island using RNA Seq	Transcriptome phylogeny and evolution of host chemical sequestration within the lichen moths  Insecta  Lepidoptera  Erebidae	When field experiments yield unexpected results  lessons learned from measuring selection in White Sands lizards	Distribution  specificity and horizontal transmission of microbial symbionts in army ant colonies	Developmental Mechanisms for Novel Morphological Evolution: Origin and Diversification of the Avian Skull	Experimental evolution of reduced antagonism: a role for host-parasite	Transcriptome phylogeny and evolution of host chemical sequestration within the lichen moths (Insecta: Lepidoptera: Erebidae)	Quantification of Coiling Patterns in Gastropod Shells and Evaluation of Functional Traits	Interactions between host phylogeny and biogeography structure sponge-associated microbial communities	2	4	6/2/15 0:35	6/2/15 0:37	0a1b1939c9	1	1	Automated (session A)	Manual (Timeslot1)
1	c8900e8dbc5d7c805b1502639406f0aa	Graduate student/Postdoc	The evolution of fur colour  a marsupial perspective	Microbiome Diversity and Dynamics under Neutral and Selective Models	Diversification and Speciation in the Ethiopian Highlands  Insights from a Radiation of Endemic Frogs	The diversity and evolution of the primate skin microbiome  how different are humans from our closest relatives	Darwin s conundrum revisited  does phylogenetic distance predict invasibility	Why is Madagascar special? Diversification patterns in pelican spiders (Archaeidae)	Exceptional avian herbivores: Multiple origins of herbivory in the bird order Anseriformes and its correlation with beak shape and body mass	Lizard scales in an adaptive radiation: non-random variation of scale size follows climatic and structural habitat diversity in Anolis lizards	A new island rule for birds: evolution towards flightlessness	PHYLOGENY AND FORELIMB DISPARITY IN WATERBIRDS	3	3	1/12/16 20:13	1/12/16 20:20	7d6e36708f	2	2	Automated (session A)	Manual (Timeslot1)
1	403d99674a031c63e0bb8ae3ecef502e	Faculty	Genes vs culture  song variation across an avian hybrid zone	Information flow through dominance network in social insect colonies	Using pooled sequencing and whole genome environmental association analyses to study local adaptation in three Alpine Brassicaceae species	The evolution and transcriptional connectivity of genes underlying ant division of labor	Genetic and environmental contributions to a divergent plumage trait in barn swallows	Skull integration and modularity in five toad species of the Rhinella granulosa group	Multi-trait divergence driven by predation environment causes immigrant inviability in Brachyrhaphis fishes	Survival in a cutthroat world: experimental estimation of natural selection on stickleback armor.	Genetic architecture of rapid and extreme body size evolution in an island population of house mice	Environmental effects on genetic covariances	1	1	1/12/16 21:55	1/12/16 22:10	035c8ff9f4	1	2	Automated (session A)	Manual (Timeslot1)
1	1bb38ca5467402f65a0ba72357c7fd32	Graduate student/Postdoc	A single gene affects both ecological divergence and mate choice in Drosophila	Genetic and phenotypic divergence in an island bird  isolation by distance  by colonization or by adaptation	Mechanisms for the evolution of seasonal timing in incipient species of Ostrinia moths	The origin of species by means of Dobzhansky Muller incompatibilities	Survival of the fattest  Indices of body condition do not predict fitness in the brown anole  Anolis sagrei	"Increased egg viability, male mating ability and mating frequency evolve in populations of D. melanogaster selected for resistance to cold shok"	Multi-trait divergence driven by predation environment causes immigrant inviability in Brachyrhaphis fishes	Lizard scales in an adaptive radiation: non-random variation of scale size follows climatic and structural habitat diversity in Anolis lizards	"Paternal learning of a phenotype-matching trait promotes speciation at secondary contact, but not the spread of a new local adaptation"	How Nonadditivity of Fitness Impacts Alters Selection for Resistance in a Multiple-Herbivore Community	2	2	2/9/16 22:03	2/9/16 22:22	331882ee7c	1	1	Automated (session A)	Manual (Timeslot1)
1	1132d4525a452bb65dac66e56a6f1de9	Graduate student/Postdoc	Evolutionary history and traits  not invasive status  influences community assembly	The genetic architecture of local adaptation at fine spatial scales   a case study of three montane conifer species	Evolutionary genetics of pigmentation variation in natural populations of Drosophila melanogaster	When field experiments yield unexpected results  lessons learned from measuring selection in White Sands lizards	Phylogenomics reveals rapid and complex evolutionary divergence and speciation in wild Solanum	"Increased egg viability, male mating ability and mating frequency evolve in populations of D. melanogaster selected for resistance to cold shok"	EVOLUTION OF INCREASED ADULT LONGEVITY IN DROSOPHILA MELANOGASTER POPULATIONS AS CORRELATED RESPONSE FOR ADAPTATION TO LARVAL CROWDING	"Life-history, Selection and Effective Population Size shaping Evolution during Colonization Lessons from Drosophila melanogaster."	Genetic basis of alkaloid resistance in harlequin toads and poison frogs	When field experiments yield unexpected results: Lessons learned from measuring selection in White Sands lizards	2	3	2/23/16 16:10	2/23/16 16:27	7842fb1bca	1	2	Automated (session A)	Manual (Timeslot1)
2	ebe367414e0b4ff1ff213081f94ca0ce	Graduate student/Postdoc	Why is Madagascar special? Diversification patterns in pelican spiders (Archaeidae)	Diversification and Speciation in the Ethiopian Highlands: Insights from a Radiation of Endemic Frogs	Lizard scales in an adaptive radiation: non-random variation of scale size follows climatic and structural habitat diversity in Anolis lizards	Genetic basis of alkaloid resistance in harlequin toads and poison frogs	When field experiments yield unexpected results: Lessons learned from measuring selection in White Sands lizards	Genes vs culture  song variation across an avian hybrid zone	Who Are the Fathers  Characterizing Hybrid Origins of Parthenogenetic Aspidoscelis Lizards	Evolutionary genetics of pigmentation variation in natural populations of Drosophila melanogaster	Computationally efficient estimation of the number of founders for colonized populations	Endogenous hepdnaviruses  bornaviruses and circoviruses in snakes	2	4	1/6/16 19:08	1/6/16 19:31	bde5d5a920	2	1	Manual (Timeslot1)	Automated (Session A)
2	c40e01273114ce83f7dcb4e0c432865f	Graduate student/Postdoc	Genomic response to 30-years of selection for increased lifespan reveals increased immunity as correlated trait	Diversification and Speciation in the Ethiopian Highlands: Insights from a Radiation of Endemic Frogs	"Life-history, Selection and Effective Population Size shaping Evolution during Colonization "" Lessons from Drosophila melanogaster."	A new island rule for birds: evolution towards flightlessness	How Nonadditivity of Fitness Impacts Alters Selection for Resistance in a Multiple-Herbivore Community	A single gene affects both ecological divergence and mate choice in Drosophila	Identifying genes affecting both adaptive divergence and reproductive isolation in Howea palms from Lord Howe Island using RNA Seq	A phylogenetic model for measuring departures from the mutation selection balance	The origin of species by means of Dobzhansky Muller incompatibilities	Two locus hybrid incompatibilities and the introgression of adaptive alleles	2	4	2/23/16 16:12	2/23/16 16:28	3bcd3530b4	2	3	Manual (Timeslot1)	Automated (Session A)
2	50a93bdf1d647c46f5ec21f194ebcde6	Graduate student/Postdoc	Why is Madagascar special? Diversification patterns in pelican spiders (Archaeidae)	Life History and Behavior in a Primate Hybrid Zone	Survival in a cutthroat world: experimental estimation of natural selection on stickleback armor.	The tangled evolutionary histories of Madagascar's small mammals	PHYLOGENY AND FORELIMB DISPARITY IN WATERBIRDS	Genes vs culture  song variation across an avian hybrid zone	Sexually selected traits and genotype by environment interactions	Speciation and chemical differentiation in the aposematic and mimetic butterflies  Melinaea	Early Evolution of the Genetic Basis for Soma in the Volvocine Green Algae	Genetic and environmental contributions to a divergent plumage trait in barn swallows	3	3	10/7/16 16:15	10/7/16 16:23	c1ee8a5424	2	2	Manual (Timeslot1)	Automated (Session A)
2	b1e1f23b650e6c40571cb5d2a65b318f	Graduate student/Postdoc	How to train your symbionts: the dynamics of domestication	Experimental evolution of reduced antagonism: a role for host-parasite	Holarctic biogeography of a widespread host-symbiont association	The tangled evolutionary histories of Madagascar's small mammals	How Nonadditivity of Fitness Impacts Alters Selection for Resistance in a Multiple-Herbivore Community	Evolution of a mating preference for a trait used in intrasexual competition in genetically monogamous populations	Sexually selected traits and genotype by environment interactions	Speciation and chemical differentiation in the aposematic and mimetic butterflies  Melinaea	Sea slugs have their cake and eat it too  a phylogenetic analysis of sponge eating nudibranchs and the defense chemicals they take and reuse	Genetic and environmental contributions to a divergent plumage trait in barn swallows	3	4	10/7/16 16:14	10/7/16 16:25	e62d003f46	3	2	Manual (Timeslot1)	Automated (Session A)
2	ee15e00d22d6b6c5088bf10595ac6ea3	Graduate student/Postdoc	Interactions between host phylogeny and biogeography structure sponge-associated microbial communities	How does pollination mutualism affect the evolution of prior self-fertilization? A model	Comparative genomics sheds light on the evolution and function of the Highly Iterative Palindrome -1 motif in Cyanobacteria	Genetic basis of alkaloid resistance in harlequin toads and poison frogs	Environmental effects on genetic covariances	Genes vs culture  song variation across an avian hybrid zone	Sexually selected traits and genotype by environment interactions	Evolutionary genetics of pigmentation variation in natural populations of Drosophila melanogaster	RNAseq analysis elucidate early responses to infection in scleractinian corals	Genetic and environmental contributions to a divergent plumage trait in barn swallows	3	3	10/7/16 16:19	10/7/16 16:25	6.33E+101	1	1	Manual (Timeslot1)	Automated (Session A)
